2009-01-31 04:39:42 Notice: Notice (8): Undefined index:  secemail in [APP/views/profiles/update.ctp, line 28]
2009-01-31 04:39:42 Notice: Notice (8): Undefined index:  about in [APP/views/profiles/update.ctp, line 29]
2009-01-31 04:39:42 Notice: Notice (8): Undefined index:  auxstudies in [APP/views/profiles/update.ctp, line 30]
2009-01-31 04:39:42 Notice: Notice (8): Undefined index:  competences in [APP/views/profiles/update.ctp, line 31]
2009-01-31 04:41:22 Notice: Notice (8): Undefined index:  fname in [APP/views/profiles/update.ctp, line 7]
2009-01-31 04:41:22 Notice: Notice (8): Undefined index:  sname in [APP/views/profiles/update.ctp, line 8]
2009-01-31 04:41:22 Notice: Notice (8): Undefined index:  country in [APP/views/profiles/update.ctp, line 23]
2009-01-31 04:41:22 Notice: Notice (8): Undefined index:  county in [APP/views/profiles/update.ctp, line 24]
2009-01-31 04:41:22 Notice: Notice (8): Undefined index:  location in [APP/views/profiles/update.ctp, line 25]
2009-01-31 04:41:22 Notice: Notice (8): Undefined index:  address in [APP/views/profiles/update.ctp, line 26]
2009-01-31 04:41:22 Notice: Notice (8): Undefined index:  tel in [APP/views/profiles/update.ctp, line 27]
2009-01-31 04:41:22 Notice: Notice (8): Undefined index:  secemail in [APP/views/profiles/update.ctp, line 28]
2009-01-31 04:41:22 Notice: Notice (8): Undefined index:  about in [APP/views/profiles/update.ctp, line 29]
2009-01-31 04:41:22 Notice: Notice (8): Undefined index:  auxstudies in [APP/views/profiles/update.ctp, line 30]
2009-01-31 04:41:22 Notice: Notice (8): Undefined index:  competences in [APP/views/profiles/update.ctp, line 31]
2009-01-31 04:44:09 Notice: Notice (8): Undefined index:  fname in [APP/views/profiles/update.ctp, line 6]
2009-01-31 04:44:09 Notice: Notice (8): Undefined index:  sname in [APP/views/profiles/update.ctp, line 7]
2009-01-31 04:44:09 Notice: Notice (8): Undefined index:  country in [APP/views/profiles/update.ctp, line 22]
2009-01-31 04:44:09 Notice: Notice (8): Undefined index:  county in [APP/views/profiles/update.ctp, line 23]
2009-01-31 04:44:09 Notice: Notice (8): Undefined index:  location in [APP/views/profiles/update.ctp, line 24]
